text,summary
The appellant tenant was in occupation of the premises and carrying on business.,The original respondent who was the owner of the said premises filed an eviction petition against the appellant on the ground of bona fide requirement as he wanted to set up his eldest son in business by start ing a photo studio in the said premises.
The issue in this appeal is the role of the Court of Protection where there is a dispute between the providers or funders of health or social care services for a person who lacks the capacity to make decisions for himself and members of his family about what should be provided for him.,"N is a profoundly disabled man, now in his twenties, who is part of a large, close and loving family."
Appeal No. 104 of 1959.,"Appeal by special leave from the judgment and decree dated December 19, 1956, of the Patna High Court in Appeal from the Appellate Decree No. 632 of 1949."
relations between the testatrix and the appellant were very cordial those between her and the respondent were far from being cordial.,There could be no occasion for her to suddenly change her mind to revoke the will so as to benefit the respondent whom she despised.
"Civil Appeal No. 591 of 1982 Appeal by Special leave from the Judgment and Order dated the 18th November, 1981 of the Delhi High Court in Civil Writ Petition No. 2581 of 1981.",WITH Writ Petition No. 802 of 1982: (Under article 32 of the Constitution of India).
"The respondent was an assessee under the Kerala General Sales Tax Act, 1963.","In determining the taxable turnover for the assessment year 1973 74, it claimed exemptions in respect of a 'service discount ' under r. 9(a) and an amount of Rs. 982.83 in respect of 'sales returns ' under r. 9(b)(i) of the Kerala General Sales Tax Rules, 1963."
The premises of the first appellant were raided by the Enforcement Directorate and certain records were seized.,The second appellant was the first appellant 's managing director.
ivil Appeal Nos.1761 62 of 1991 From the Judgment and Order dated 13.8.90 of the Madras High Court in C.M.P. No. 10274 and 10275 of 90. 233 WITH C.A. No. 1763 18 of 1991.,V. Krishnamurthy for the Appellants.
This appeal raises an interesting but complicated question as to the meaning of the GLA Roads and Side Roads (Transfer of Property etc) Order 2000 (SI 2000/1552) (the Transfer Order) made by the Secretary of State in exercise of powers conferred by section 405 and following of the Greater London Authority Act 1999 (the GLA Act).,By that Act Parliament reorganised local government in London and created the Greater London Authority (GLA) under a directly elected Mayor of London.
"On the ground that the dealers have not charged and collected Central Sales Tax during the period 1st April, 1969 to 9th June, 1969 the Commercial Tax Officer, allowed exemption under section 10 of the Central Sales Tax Act in respect of certain turn over of the appellant which included the price realised on account of inter state sales.",In respect of a second set of transactions which involved the purchase value of cotton sold during the year through inter state sales the Commercial Tax Officer held that the appellant was entitled to exemption under the proviso to section 6 of the A.P. General Sales Tax Act.
minal Appeal No. 253 of 1968.,"Appeal by special leave from the judgment and Order dated April 12, 1968 of the Allahabad High Court in Criminal Govt."
Appeal No. 80 of 1952.,"Appeal from the Judgment and Decree dated the 6th September, 1950, of the High Court of Judicature at Calcutta (Das Gupta and Lahiri JJ.) in Appellate Decree No. 318 of 1949 from the Judgment and Decree dated the 25th February, 1949."
"On 23.12.1976 at about 1 p.m. when Bali (deceased) along with PWs 1 and 5 was in his field, the four appellants each armed with a Lathi, along with Braham Singh armed with a 'Ballam ', came there.","On the exhortation of Chandroo, all other appellants and Braham Singh attacked Bali with their respective weapons and caused injuries to him."
Civil Appeal No. 3527 of 1979.,"Appeal by Special leave from the Judgment and order dated the 15th JaNuary, 1979 of the Karnataka High Court in Executive Second Appeal No. 89 of 1974."
"The appellant and the deceased who were friends, came to Delhi to purchase a motor cycle and stayed in a hotel.","The deceased fell short of money and the appellant promised to get it, from someone known to him."
ivil Appeal No. 3119 of 1984.,From the Judgment and Order dated 20.9.1982 of the Delhi High Court in S.A.O. No. 181 of 1979.
"Civil Appeal No. 1185 of 1979, Appeal by Special Leave from the Judgment and order dated 15.12.1978 of the Gujarat High Court in Sales Tax Reference No. 24 of 1978.",AND Civil Appeal No. 1187 of 1979.
"The petitions challenged the constitutional validity of the Bombay Tenancy and Agricultural lands (Amendment) Act, 1956, (1) ; 62 490 (Bom.","XIII of 1956) which, in further amending the Bombay Tenancy and Agricultural Lands Act, 1948 (Bom."
These appeals require the Court to consider once again the impact of article 2 of the European Convention on Human Rights (the Convention) on the scope of an inquest.,They arise because of a change that the Grand Chamber of the Strasbourg Court has made as to the nature of the obligations imposed by article 2.
iminal Appeal No.122 of 1965.,"Appeal from the judgment and order dated December 1, 1964 of the Allahabad High Court in Government Appeal No.785 of 1963."
The respondent had an overdraft account with the Erattupetta Branch of the Kottayam orient Bank Ltd. at the foot of which he owed a sum of over Rs. 3000/ to the Bank.,"The said Bank which was a 'Banking Company ' as defined in the Banking Regulation Act, 1949, was amalgamated with the appellant Bank with effect from June 17, 1961."
This appeal concerns the scope of legal advice privilege.,"Legal advice privilege applies to all communications passing between a client and its lawyers, acting in their professional capacity, in connection with the provision of legal advice."
"The appellants had acquired the rights of protected tenants under section 3A(1) of the Bombay Tenancy Act, 1939, as amended by the Bombay Tenancy (Amendment) Act, 1946, and their rights as protected tenants were recorded in the Record of Rights.","That Act was repealed by the Bombay Tenancy and Agricultural Lands Act, 1948, which by section 31 recognised the rights of a protected tenant acquired under the Act of 1939 for its own purposes, by section 88(1)(c) provided, that nothing in the foregoing provisions of the Act should apply to any area within the limits of the Municipal borough of Poona City and Suburban as also some other boroughs and within a distance of two miles of the limits of such boroughs, and by section 89(2) that ""nothing in this Act or any repeal effected thereby . (b) shall, save as expressly provided in this Act, affect or be deemed to affect (i) any right, title, interest, obligation or liability already acquired, accrued or incurred before the commencement of this Act, or . . . . . . . . . or . . . . . . . . . (ii) any legal proceeding or remedy in respect of any such right, title, interest, obligation, or liability or anything done or suffered before the commencement of this Act, and any such proceeding shall be continued and disposed of, as if this Act was not passed The lands in dispute were situated within two miles of the limits of the Poona Municipal Borough, i.e. Poona City and Suburban, and the question was whether the rights of the appellants as protected tenants therein were."
"The petitioner, the editor of a newspaper, was detained under r. 30(1)(b) of the Defence of India Rules, 1962.",He filed a petition under article 32 of the Constitution for a writ of habeas corpus challenging the legality of the detention order on various grounds.
"Despite the significance of her name in Cartesian philosophy, the vessel Res Cogitans depends on bunkers.",The parties submissions have in compensation lent a degree of metaphysical complexity to commonplace facts.
The appellant Bank issued Circular No. 42 containing an understanding reached with the Staff union laying down the policy for promotion of clerks to the post of Head Clerks.,"As per clause 1(d) of the Circular the employees who decline to accept Head Clerk s post at a branch office outside the city in which they work, will have a further option when a vacancy arises at any one of the Bank 's offices within that city."
Civil Appeal No. 1795 of 1986: From the Judgment and order dated 25.9.1984 of the Delhi High Court in S.A.O. No. 283 of 1984.,"Mrs. Shyamla Pappu, N.S. Das Bahl, P.K. Bahl and P.S. Mahindra for the Appellant."
